ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.10,10.0.42.155,327,270,1,2021-02-04T19:46:17.670675,2021-02-04T19:46:27.675074,52:54:00:2d:18:d3,52:54:00:40:74:8e,6,5,4242,56754,0,6,26,26,[1|-1|1|1|-1|1|1|-1|1],[2|18|16|24|16|24|24|24|16],[0|0|0|4|0|1|2|2|0],[2021-02-04T19:46:17.670675|2021-02-04T19:46:17.670890|2021-02-04T19:46:17.671392|2021-02-04T19:46:17.671830|2021-02-04T19:46:17.672030|2021-02-04T19:46:17.672485|2021-02-04T19:46:27.674126|2021-02-04T19:46:27.674543|2021-02-04T19:46:27.675074]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:47:27.693592,2021-02-04T19:47:27.694081,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:47:27.693592|2021-02-04T19:47:27.693795|2021-02-04T19:47:27.694081]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:48:27.713126,2021-02-04T19:48:27.713566,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:48:27.713126|2021-02-04T19:48:27.713308|2021-02-04T19:48:27.713566]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:49:27.732641,2021-02-04T19:49:27.733777,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:49:27.732641|2021-02-04T19:49:27.732977|2021-02-04T19:49:27.733777]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:50:27.756105,2021-02-04T19:50:27.756851,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:50:27.756105|2021-02-04T19:50:27.756324|2021-02-04T19:50:27.756851]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:51:27.771691,2021-02-04T19:51:27.772474,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:51:27.771691|2021-02-04T19:51:27.772100|2021-02-04T19:51:27.772474]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:52:27.795069,2021-02-04T19:52:27.795478,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:52:27.795069|2021-02-04T19:52:27.795292|2021-02-04T19:52:27.795478]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:53:27.818624,2021-02-04T19:53:27.818940,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:53:27.818624|2021-02-04T19:53:27.818809|2021-02-04T19:53:27.818940]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:54:27.838115,2021-02-04T19:54:27.838419,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:54:27.838115|2021-02-04T19:54:27.838288|2021-02-04T19:54:27.838419]
10.0.42.10,10.0.42.155,106,54,1,2021-02-04T19:55:27.857681,2021-02-04T19:55:27.857980,52:54:00:2d:18:d3,52:54:00:40:74:8e,2,1,4242,56754,0,6,24,24,[1|-1|1],[24|24|16],[2|2|0],[2021-02-04T19:55:27.857681|2021-02-04T19:55:27.857852|2021-02-04T19:55:27.857980]
