ipaddr DST_IP,ipaddr SRC_IP,uint64 BYTES,uint64 BYTES_REV,uint64 LINK_BIT_FIELD,time TIME_FIRST,time TIME_LAST,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint16 DST_PORT,uint16 SRC_PORT,uint8 DIR_BIT_FIELD,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,int8* PPI_PKT_DIRECTIONS,uint8* PPI_PKT_FLAGS,uint16* PPI_PKT_LENGTHS,time* PPI_PKT_TIMES
10.0.42.10,10.0.42.155,374,287,1,2021-02-10T15:45:34.417531,2021-02-10T15:45:43.996231,52:54:00:2d:18:d3,52:54:00:40:74:8e,6,5,4242,53018,0,6,26,26,[1|-1|1|1|-1|-1|1|-1|-1],[2|18|16|24|16|24|16|24|24],[0|0|0|54|0|14|0|4|1],[2021-02-10T15:45:34.417531|2021-02-10T15:45:34.418754|2021-02-10T15:45:34.419170|2021-02-10T15:45:34.423319|2021-02-10T15:45:34.423489|2021-02-10T15:45:34.428225|2021-02-10T15:45:34.428610|2021-02-10T15:45:43.995106|2021-02-10T15:45:43.995799]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:46:44.141421,2021-02-10T15:46:44.142545,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:46:44.141421|2021-02-10T15:46:44.141986|2021-02-10T15:46:44.142157]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:47:44.005748,2021-02-10T15:47:44.006852,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:47:44.005748|2021-02-10T15:47:44.006263|2021-02-10T15:47:44.006402]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:48:44.000096,2021-02-10T15:48:44.001137,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:48:44.000096|2021-02-10T15:48:44.000580|2021-02-10T15:48:44.000697]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:49:43.992795,2021-02-10T15:49:43.993493,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:49:43.992795|2021-02-10T15:49:43.993103|2021-02-10T15:49:43.993204]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:50:44.011259,2021-02-10T15:50:44.012779,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:50:44.011259|2021-02-10T15:50:44.011784|2021-02-10T15:50:44.011999]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:51:44.026402,2021-02-10T15:51:44.027422,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:51:44.026402|2021-02-10T15:51:44.026882|2021-02-10T15:51:44.027065]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:52:44.035746,2021-02-10T15:52:44.036793,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:52:44.035746|2021-02-10T15:52:44.036224|2021-02-10T15:52:44.036350]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:53:44.049942,2021-02-10T15:53:44.050899,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:53:44.049942|2021-02-10T15:53:44.050341|2021-02-10T15:53:44.050450]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:54:44.055563,2021-02-10T15:54:44.056576,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:54:44.055563|2021-02-10T15:54:44.056002|2021-02-10T15:54:44.056126]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:55:44.059054,2021-02-10T15:55:44.060977,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:55:44.059054|2021-02-10T15:55:44.059856|2021-02-10T15:55:44.060265]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:56:44.062444,2021-02-10T15:56:44.063376,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:56:44.062444|2021-02-10T15:56:44.062888|2021-02-10T15:56:44.063015]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:57:44.074525,2021-02-10T15:57:44.074967,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:57:44.074525|2021-02-10T15:57:44.074773|2021-02-10T15:57:44.074830]
10.0.42.155,10.0.42.10,109,104,1,2021-02-10T15:58:44.079175,2021-02-10T15:58:44.080206,52:54:00:40:74:8e,52:54:00:2d:18:d3,2,2,53018,4242,0,6,24,16,[1|-1|1],[24|16|24],[4|0|1],[2021-02-10T15:58:44.079175|2021-02-10T15:58:44.079649|2021-02-10T15:58:44.079822]
